Ticket subject,Ticket Type,Ticket priority,Module,Product
Kuehne + Nagel | Request for Support Call,Problem,Normal,Overtime Application,Sprout HR
Kuehne + Nagel | Request for Support Call,Problem,Normal,Work Schedule,Sprout HR
"ISprout Instacash-Netbank due April 25,2024",Task,Normal,InstaCash: Payments,Sprout Instacash
Instacash Payment Concern,Problem,Normal,Instacash Widget,Sprout Instacash
"Hi,

I have a loan with a Salary Deduction total o...",Problem,Normal,Instacash Widget,Sprout Instacash
"Hi,

I have a loan with a Salary Deduction total o...",Problem,Normal,InstaCash: Payments,Sprout Instacash
093-35-01203-6 / Marilyn Catbagan / 4 Cut off,Task,Normal,InstaCash: Payments,Sprout Instacash
Instacash loan payments not reflecting in Sprout,Task,Normal,Instacash Widget,Sprout Instacash
Instacash loan payments not reflecting in Sprout,Task,Normal,InstaCash: Payments,Sprout Instacash
Instacash loan payments not reflecting in Sprout,Task,Normal,Loans,Sprout Instacash
Payroll Processing Error,Problem,High,Payroll Runs,Sprout Payroll
For assistance | Filing of SA,Problem,Normal,Schedule Adjustments,Sprout HR
Sprout Instacash Update,Problem,Normal,InstaCash: Payments,Sprout Instacash
Deduction/Payment not updating on Sprout,Task,Normal,InstaCash: Payments,Sprout Instacash
InstaCash Concern-KMC Solutions for Riva Macapagal,Task,Normal,InstaCash: Payments,Sprout Instacash
INSTACASH DISPUTE,Problem,Normal,InstaCash: Payments,Sprout Instacash
Change Request - CRF-18665 - ONE CALL SOLUTIONS,Problem,Urgent,Account Lockout,Sprout HR
Change Request - CRF-18665 - ONE CALL SOLUTIONS,Problem,Urgent,Login,Sprout HR
Loan Payment Update,Task,Normal,InstaCash: Payments,Sprout Instacash
Fwd: [Sprout Ecosystem] Password Reset Request,Problem,High,Login,Sprout HR
Fwd: [Sprout Ecosystem] Password Reset Request,Problem,High,SSO,Sprout HR
reloan,Task,Normal,InstaCash: Payments,Sprout Instacash
Loan deductions was not updated,Problem,Normal,InstaCash: Payments,Sprout Instacash
InstaCash Payment,Task,Normal,InstaCash: Payments,Sprout Instacash
PSG Inquiry Re: SIL Credits,Question,Normal,Leave Application,Sprout HR
Change Request - CRF-18666 - KINETTIX,Problem,High,Login,Sprout HR
Change Request - CRF-18666 - KINETTIX,Problem,High,SSO,Sprout HR
CRF � HIGH PRIORITY,Problem,,Login,Sprout HR
CRF � HIGH PRIORITY,Problem,,Web Bundy,Sprout HR
"Re: ADVANCE Payment Reminder (OPEN LOOK BUSINESS SOLUTIONS INC) - November 25, 2022",Problem,Normal,Payroll Runs,Sprout Instacash
"Re: ADVANCE Payment Reminder (OPEN LOOK BUSINESS SOLUTIONS INC) - November 25, 2022",Problem,Normal,Payroll Runs,Sprout Payroll
Report issue: [ instacash - something went wrong ],Problem,Normal,InstaCash: Payments,Sprout Instacash
Instacash,Task,Normal,InstaCash: Payments,Sprout Instacash
Outstanding Balance Not Updated - Please help :(,Task,Normal,InstaCash: Payments,Sprout Instacash
C3915 InstaCash Concern,Problem,Normal,InstaCash: Payments,Sprout HR
KMC Masterfile 04/25/2024,Task,Normal,Employee List Report,Sprout HR
Payroll URL under SSO,Problem,High,Company,Sprout HR
Payroll URL under SSO,Problem,High,Company,Sprout Payroll
Payroll URL under SSO,Problem,High,Login,Sprout HR
Payroll URL under SSO,Problem,High,Login,Sprout Payroll
Payroll URL under SSO,Problem,High,SSO,Sprout HR
Payroll URL under SSO,Problem,High,SSO,Sprout Payroll
Instacash,Problem,Normal,InstaCash: Payments,Sprout Instacash
Pending Loan Balance,Problem,Normal,InstaCash: Payments,Sprout Instacash
Inquiry on Balance,Problem,Normal,InstaCash: Payments,Sprout Instacash
InstaCash Payment Dispute,Problem,Normal,InstaCash: Payments,Sprout HR
Instacash Loans Concern,Problem,Normal,Instacash Widget,Sprout Instacash
Instacash Loans Concern,Problem,Normal,Loans,Sprout Instacash
InstaCash Issue,Problem,Normal,Instacash Widget,Sprout Instacash
InstaCash Issue,Problem,Normal,Loans,Sprout Instacash
Sprout Loan Inquiry,Problem,Normal,InstaCash: Payments,Sprout Instacash
Updated Backend Policy: At1ndahan Inc.,Task,Normal,Backend Policy,Sprout HR
[Seadove Group] Ignoring Applications and Resolutions,Question,Low,Resolution Center,Sprout HR
[Seadove Group] Ignoring Applications and Resolutions,Question,Low,Resolution Center Widget,Sprout HR
[Seadove Group] Ignoring Applications and Resolutions,Question,Low,Undertimes,Sprout HR
Change Request - CRF-18667 - Nephrocare Health Care Services Philippines Inc.,Task,High,Contact Information,Sprout HR
Change Request - CRF-18667 - Nephrocare Health Care Services Philippines Inc.,Task,High,Contact Information,Sprout Payroll
Change Request - CRF-18667 - Nephrocare Health Care Services Philippines Inc.,Task,High,Employee List Report,Sprout HR
Change Request - CRF-18667 - Nephrocare Health Care Services Philippines Inc.,Task,High,Employee List Report,Sprout Payroll
Change Request - CRF-18667 - Nephrocare Health Care Services Philippines Inc.,Task,High,SSO,Sprout HR
Change Request - CRF-18667 - Nephrocare Health Care Services Philippines Inc.,Task,High,SSO,Sprout Payroll
Change Request - CRF-18667 - Nephrocare Health Care Services Philippines Inc.,Task,High,Users,Sprout HR
Change Request - CRF-18667 - Nephrocare Health Care Services Philippines Inc.,Task,High,Users,Sprout Payroll
"Sprout Appproval Timestaps | April 6 - 20, 2024",Task,High,Approval Center,Sprout HR
"Sprout Appproval Timestaps | April 6 - 20, 2024",Task,High,Audit Trail,Sprout HR
Sprout of Ericsson site team not function | Arcane Utopia Sprout,Problem,Normal,Login,Sprout HR
Sprout of Ericsson site team not function | Arcane Utopia Sprout,Problem,Normal,Login,Sprout Payroll
Sprout of Ericsson site team not function | Arcane Utopia Sprout,Problem,Normal,Others,Sprout HR
Sprout of Ericsson site team not function | Arcane Utopia Sprout,Problem,Normal,Others,Sprout Payroll
Cannot Access New Payroll Sprout,Problem,Urgent,Login,Sprout HR
Cannot Access New Payroll Sprout,Problem,Urgent,Login,Sprout Payroll
Cannot Access New Payroll Sprout,Problem,Urgent,SSO,Sprout HR
Cannot Access New Payroll Sprout,Problem,Urgent,SSO,Sprout Payroll
ASSISTANCE ON SSO ACTIVATION,Problem,High,Login,Sprout HR
ASSISTANCE ON SSO ACTIVATION,Problem,High,Login,Sprout Payroll
ASSISTANCE ON SSO ACTIVATION,Problem,High,SSO,Sprout HR
ASSISTANCE ON SSO ACTIVATION,Problem,High,SSO,Sprout Payroll
Re: 197522 Re: Request #189578: How would you rate the support you received?,Problem,Normal,Instacash Widget,Sprout Instacash
Re: 197522 Re: Request #189578: How would you rate the support you received?,Problem,Normal,InstaCash: Payments,Sprout Instacash
Maternity Leave_Sprout Computation_KR-0051,Problem,Normal,Payroll Runs,Sprout Payroll
Payroll Account Access - Denied,Problem,Normal,Login,Sprout Payroll
"Change Request - CRF-18668 - TVP Consulting Group, Inc.",Task,Normal,Backend Policy,Sprout Payroll
Inquiry for 1 minute undertime,Problem,Normal,Attendance Management,Sprout HR
Inquiry for 1 minute undertime,Problem,Normal,Attendance Report,Sprout HR
Inquiry for 1 minute undertime,Problem,Normal,Certificates of Attendance,Sprout HR
Inquiry for 1 minute undertime,Problem,Normal,Leave Application,Sprout HR
Inquiry for 1 minute undertime,Problem,Normal,Leaves,Sprout HR
Inquiry for 1 minute undertime,Problem,Normal,Undertimes,Sprout HR
Inquiry for 1 minute undertime,Problem,Normal,Work Schedule,Sprout HR
Change Request - CRF-18669 - UBX,Task,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
"Re: Unposted Instacash Deduction | KMC Community, Inc. - Employee ID: C5649",Problem,Normal,InstaCash: Payments,Sprout Instacash
Re: instacash,Problem,Normal,InstaCash: Payments,Sprout Instacash
UNPAID LEAVE,Question,Low,Leave Types and Policies,Sprout HR
Username & Email Matched | SSO - TMDPH Inc.,Task,Normal,Others,Sprout HR
Username & Email Matched | SSO - TMDPH Inc.,Task,Normal,Others,Sprout Payroll
Username & Email Matched | SSO - TMDPH Inc.,Task,Normal,SSO,Sprout HR
Username & Email Matched | SSO - TMDPH Inc.,Task,Normal,SSO,Sprout Payroll
FW: Sprout System Update - Single Sign-On (SSO),Problem,High,Login,Sprout HR
FW: Sprout System Update - Single Sign-On (SSO),Problem,High,SSO,Sprout HR
Viatechnik: Leave not reflecting in HRHUB,Problem,Normal,Attendance Report,Sprout HR
Viatechnik: Leave not reflecting in HRHUB,Problem,Normal,Leave Application,Sprout HR
Change Request - CRF-18670 - Lamudi Technical Services Corporation,Task,Normal,Deactivation,Sprout Instacash
Change Request - CRF-18670 - Lamudi Technical Services Corporation,Task,Normal,Instacash Widget,Sprout Instacash
Not getting email notification,Problem,High,Email Notification,Sprout HR
Not getting email notification,Problem,High,SSO,Sprout HR
Change Request - CRF-18671 - KMC Solutions,Task,Normal,Employee Profile,Sprout HR
Change Request - CRF-18671 - KMC Solutions,Task,Normal,Employee Profile,Sprout Payroll
"Deletion of HRIS - ID19180 - Magbanua, Vince under HELPFUEL SERVICES DMCC",Task,Normal,Employee Profile,Sprout HR
Settled payment for Instacash does not reflect in Sprout,Problem,Normal,InstaCash: Payments,Sprout Instacash
Sprout Cash Advance Payment not Updated,Problem,Normal,InstaCash: Payments,Sprout Instacash
Loan reference code 093-35-01175-8,Problem,Normal,InstaCash: Payments,Sprout Instacash
Login Issue with Sprout Payroll,Problem,High,Login,Sprout Payroll
Login Issue with Sprout Payroll,Problem,High,Others,Sprout Payroll
Bark Phl - LH/RD Pay eligibility,Problem,Normal,Attendance Report,Sprout HR
Bark Phl - LH/RD Pay eligibility,Problem,Normal,Backend Policy,Sprout HR
SPROUT ACCESS CONCERN,Problem,High,Login,Sprout HR
SPROUT ACCESS CONCERN,Problem,High,SSO,Sprout HR
SEVEN A.D.: MENTAL HEALTH BENEFIT (MHB),Problem,Normal,Leave Application,Sprout HR
SEVEN A.D.: MENTAL HEALTH BENEFIT (MHB),Problem,Normal,Leave Plans and Usage,Sprout HR
SEVEN A.D.: MENTAL HEALTH BENEFIT (MHB),Problem,Normal,Leave Report,Sprout HR
SEVEN A.D.: MENTAL HEALTH BENEFIT (MHB),Problem,Normal,Leaves,Sprout HR
InstaCash Update,Task,Normal,InstaCash: Payments,Sprout Instacash
Internal: List of clients subscribed to SMS OTP,Task,Normal,Others,Sprout Mobile
Change Request - CRF-18672 - Realcognita Inc.,Task,High,Biometrics Device,Sprout HR
Instacash,Task,Normal,InstaCash: Payments,Sprout Instacash
Belo Medical Group - Sprout Payroll - Company,Problem,Normal,Payroll Runs,Sprout HR
Belo Medical Group - Sprout Payroll - Company,Problem,Normal,Payroll Runs,Sprout Payroll
Belo Medical Group - Sprout Payroll - Company,Problem,Normal,SSO,Sprout HR
Belo Medical Group - Sprout Payroll - Company,Problem,Normal,SSO,Sprout Payroll
"SPROUT LATENCY AGAIN - April 25, 2024",Problem,High,Login,Sprout HR
Sprout Benefits: Loans - #1304 KMC,Problem,Normal,InstaCash: Payments,Sprout Instacash
"Change Request -  - Global Food Group Innovations, Inc.",Problem,Normal,Backend Policy,Sprout Payroll
Sprout Instacash Concern - Rogelio Benavidez,Problem,Normal,InstaCash: Payments,Sprout Instacash
InstaCash,Task,Normal,InstaCash: Payments,Sprout Instacash
No reset passwod email received,Problem,High,Email Notification,Sprout HR
No reset passwod email received,Problem,High,SSO,Sprout HR
Change Request -  - Mala Restaurant,Task,Normal,Backend Policy,Sprout Payroll
Change Request -  - The Studio of Secret6 Inc.,Question,Normal,Access Levels,Sprout HR
Change Request -  - The Studio of Secret6 Inc.,Question,Normal,Project Tagging,Sprout HR
Change Request - CRF-18673 - Philippine Chamber of Commerce and Industry,Task,Normal,Others,Sprout HR
Change Request - CRF-18673 - Philippine Chamber of Commerce and Industry,Task,Normal,Others,Sprout Payroll
Change Request - CRF-18673 - Philippine Chamber of Commerce and Industry,Task,Normal,SSO,Sprout HR
Change Request - CRF-18673 - Philippine Chamber of Commerce and Industry,Task,Normal,SSO,Sprout Payroll
Change Request -  - Onepot Shabu Shabu Restaurant,Task,Normal,Backend Policy,Sprout Payroll
"Change Request - CRF-18674 - Avestronics Industrial Sales and Services, Inc.",Task,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
Change Request -  - Mr Corea BBQ Restaurant,Task,Normal,Backend Policy,Sprout Payroll
EXPORTING PAYROLL MONTHLY SUMMARY,Problem,Normal,Payroll - Monthly Summary,Sprout Payroll
Le Maria Food Corporation - Sprout Mobile App - Error in clockin / clockout,Problem,Normal,Clock In Homepage,Sprout Mobile
Le Maria Food Corporation - Sprout Mobile App - Error in clockin / clockout,Problem,Normal,Mobile Bundy,Sprout Mobile
Change Request -  - Think Full Food Corp.,Task,Normal,Backend Policy,Sprout Payroll
Inquire,Question,Normal,Instacash Widget,Sprout Instacash
Inquire,Question,Normal,Loans,Sprout Instacash
Change Request -  - Table Story Food Concept Inc.,Task,Normal,Backend Policy,Sprout Payroll
PhilHealth Deduction,Problem,Normal,Onehub DAT Files - Philhealth Contributions,Sprout Payroll
Change Request - CRF-18675 - HELPFUEL SERVICES DMCC,Task,Normal,Deactivation,Sprout HR
Change Request - CRF-18675 - HELPFUEL SERVICES DMCC,Task,Normal,Employee Profile,Sprout HR
URGENT : Instacash Loan Concern I Manglallan & Cantos I KMCS Internal,Task,Normal,InstaCash: Payments,Sprout Instacash
Instacash Loan Concern I Roxan Obra,Task,Normal,InstaCash: Payments,Sprout Instacash
Sprout - InstaCash Payment Not Updated,Task,Normal,InstaCash: Payments,Sprout Instacash
Sprout InstaCash Update Request - Loan Reference Number: 093-35-01060-9,Task,Normal,InstaCash: Payments,Sprout Instacash
Update of Company Profile - Brixio.hrhub.ph,Question,Low,Company,Sprout HR
Update of Company Profile - Brixio.hrhub.ph,Question,Low,Company,Sprout Payroll
Update of Company Profile - Brixio.hrhub.ph,Question,Low,Whitelabel / Logo,Sprout HR
Update of Company Profile - Brixio.hrhub.ph,Question,Low,Whitelabel / Logo,Sprout Payroll
"KMC Community, Inc. | Reconciled List of Employees with Instacash Loans and Status of Deductions",Task,Normal,InstaCash: Payments,Sprout Instacash
Sprout Login Credentials Issue,Problem,Normal,Email Notification,Sprout HR
Sprout Login Credentials Issue,Problem,Normal,Employee Profile,Sprout HR
URGENT: Access Denied: ProjectDuo,Problem,Normal,Login,Sprout HR
URGENT: Access Denied: ProjectDuo,Problem,Normal,Login,Sprout Payroll
URGENT: Access Denied: ProjectDuo,Problem,Normal,SSO,Sprout HR
URGENT: Access Denied: ProjectDuo,Problem,Normal,SSO,Sprout Payroll
"NetBank Deduction Report & SOA Request (Mez Limited inc) - April 25, 2024",Problem,Normal,Instacash Widget,Sprout Instacash
"NetBank Deduction Report & SOA Request (Mez Limited inc) - April 25, 2024",Problem,Normal,Loans,Sprout Instacash
Reference Code: 093-35-01079-4,Task,Normal,InstaCash: Payments,Sprout Instacash
Instacash Deductions/Status,Task,Normal,InstaCash: Payments,Sprout Instacash
Belo Medical Group - Sprout HR - Password Reset,Problem,High,Login,Sprout HR
Belo Medical Group - Sprout HR - Password Reset,Problem,High,SSO,Sprout HR
KMC Employee ID No. 3000 | Unposted Sprout Instacash Deduction - March and April 2024,Task,Normal,InstaCash: Payments,Sprout Instacash
Biometric Device Syncing,Problem,Normal,Biologs,Sprout HR
Biometric Device Syncing,Problem,Normal,Biometrics Device,Sprout HR
Change Request - CRF-18676 - HELPFUEL SERVICES DMCC,Task,Normal,Employee Profile,Sprout HR
Inquiry on Loan Reference 093-35-00802-1,Task,Normal,InstaCash: Payments,Sprout Instacash
M360 TAX CONCERN,Problem,Normal,Payroll Register,Sprout Payroll
Sprout Instacash Dispute,Task,Normal,InstaCash: Payments,Sprout Instacash
Change Request - CRF-18677 - WEE COMMUNITY DEVELOPERS INC.,Task,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
Taxable Allowance and De minimis,Problem,Normal,One-time Adjustments,Sprout Payroll
Taxable Allowance and De minimis,Problem,Normal,Payroll Runs,Sprout Payroll
Taxable Allowance and De minimis,Problem,Normal,Recurring Adjustments,Sprout Payroll
Sprout HR Account Creation - Payroll_Glo54 - globalfgi.hrhub.ph,Task,Normal,Account Creation,Sprout HR
Sprout HR Account Creation - Payroll_Glo54 - globalfgi.hrhub.ph,Task,Normal,Account Creation,Sprout Payroll
Payroll Access,Problem,Normal,Login,Sprout HR
Payroll Access,Problem,Normal,Login,Sprout Payroll
Payroll Access,Problem,Normal,SSO,Sprout HR
Payroll Access,Problem,Normal,SSO,Sprout Payroll
SANDIGAN SHIP SERVICES - INQUIRY ON PHILHEALTH CONTRIBUTION,Problem,Normal,PhilHealth Contribution,Sprout Payroll
Change Request - CRF-18678 - Baconnoisseur Corporation,Problem,Normal,Recurring Adjustments,Sprout Payroll
Loan Obligation not reflecting as Completed,Task,Normal,InstaCash: Payments,Sprout Instacash
SPROUT ACCESS ISSUE,Problem,Normal,Access Levels,Sprout HR
SPROUT ACCESS ISSUE,Problem,Normal,Access Levels,Sprout Mobile
SPROUT ACCESS ISSUE,Problem,Normal,My Requests on Mobile,Sprout HR
SPROUT ACCESS ISSUE,Problem,Normal,My Requests on Mobile,Sprout Mobile
CEVI - Payroll - LBP DAT File,Enhancement,Normal,Bank DAT File,Sprout Payroll
CEVI - Payroll - LBP DAT File,Enhancement,Normal,Non - Support,Sprout Payroll
Sprout InstaCash concern / Giselle Benavidez,Task,Normal,InstaCash: Payments,Sprout Instacash
Sprout InstaCash concern / Giselle Benavidez,Problem,Normal,InstaCash: Payments,Sprout Instacash
Change Request - CRF-18679 - Msocial,Task,Normal,Backend Policy,Sprout HR
Inquiry I Sprout HR cannot access by employee,Problem,Normal,Login,Sprout HR
Sprout Intacash,Task,Normal,InstaCash: Payments,Sprout Instacash
Change Request - CRF-18680 - Rare Inc.,Task,Normal,Others,Sprout HR
Change Request - CRF-18680 - Rare Inc.,Task,Normal,Others,Sprout Payroll
Change Request - CRF-18680 - Rare Inc.,Task,Normal,SSO,Sprout HR
Change Request - CRF-18680 - Rare Inc.,Task,Normal,SSO,Sprout Payroll
Change Request - CRF-18681 - Autokid Subic Trading Corp,Task,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
Communal Artisanry Group Inc. - Leave Report,Question,Normal,Leave Application,Sprout HR
Change Request - CRF-18682 - Rare Inc Representative Office,Task,Normal,Others,Sprout HR
Change Request - CRF-18682 - Rare Inc Representative Office,Task,Normal,Others,Sprout Payroll
Change Request - CRF-18682 - Rare Inc Representative Office,Task,Normal,SSO,Sprout HR
Change Request - CRF-18682 - Rare Inc Representative Office,Task,Normal,SSO,Sprout Payroll
Inquiry I Sprout Email,Problem,Normal,Approval Levels,Sprout HR
Inquiry I Sprout Email,Problem,Normal,Email Notification,Sprout HR
Re: URGENT: Initiate SSO Activation Today - Deadline Approaching,Non Support,Low,Non - Support,Sprout HR
Re: URGENT: Initiate SSO Activation Today - Deadline Approaching,Non Support,Low,Non - Support,Sprout Payroll
Request: Client Name and System ID,Task,Normal,Company,Sprout HR
Un-able to log and change password,Problem,Normal,Login,Sprout HR
Un-able to log and change password,Problem,Normal,Login,Sprout Mobile
"Sprout loan updating,",Task,Normal,InstaCash: Payments,Sprout Instacash
OT Filing and Biometric/Sprout App Logs  [BL20240425142510],Problem,Normal,Attendance Management,Sprout HR
OT Filing and Biometric/Sprout App Logs  [BL20240425142510],Problem,Normal,Attendance Report,Sprout HR
OT Filing and Biometric/Sprout App Logs  [BL20240425142510],Problem,Normal,Overtime Application,Sprout HR
Re: Schedule Adjustment Concern,Problem,Normal,Attendance Report,Sprout HR
Re: Schedule Adjustment Concern,Problem,Normal,Schedule Adjustment Application,Sprout HR
Re: Schedule Adjustment Concern,Problem,Normal,Work Schedule,Sprout HR
SPROUT PAYROLL LATENCY FOR PBC,Problem,High,Payroll Register,Sprout HR
SPROUT PAYROLL,Problem,Normal,Login,Sprout HR
SPROUT PAYROLL,Problem,Normal,Login,Sprout Payroll
SPROUT PAYROLL,Problem,Normal,SSO,Sprout HR
SPROUT PAYROLL,Problem,Normal,SSO,Sprout Payroll
Missing Clock In/Out- Fly Ace,Problem,Normal,Access Levels,Sprout HR
Missing Clock In/Out- Fly Ace,Problem,Normal,Admin Dashboard,Sprout HR
Missing Clock In/Out- Fly Ace,Problem,Normal,Web Bundy,Sprout HR
Attendance Report,Enhancement,Low,Payroll Runs,Sprout HR
Attendance Report,Enhancement,Low,Payroll Runs,Sprout Payroll
Change Request -  - At1ndahan Inc.,Problem,Normal,Attendance Report,Sprout HR
Change Request -  - At1ndahan Inc.,Problem,Normal,Backend Policy,Sprout HR
FW: LOG IN USING CELLULAR DEVICE,Problem,Normal,Employee Profile,Sprout HR
FW: LOG IN USING CELLULAR DEVICE,Problem,Normal,Work Place / Location,Sprout HR
Logging in concern (Mobile Phone),Problem,Normal,Login,Sprout HR
Logging in concern (Mobile Phone),Problem,Normal,Login,Sprout Payroll
Logging in concern (Mobile Phone),Problem,Normal,SSO,Sprout HR
Logging in concern (Mobile Phone),Problem,Normal,SSO,Sprout Payroll
Change Request - CRF-18683 - Viskase Asia Pacific Corporation,Task,Normal,Biometrics Device,Sprout HR
WEBSITE CONNECTION ISSUE,Problem,Normal,Login,Sprout HR
Change Request - CRF-18684 - Create and Reach VA Services,Task,Normal,Departments,Sprout HR
Change Request - CRF-18684 - Create and Reach VA Services,Task,Normal,Departments,Sprout Payroll
Change Request - CRF-18684 - Create and Reach VA Services,Task,Normal,Sync Sprout HR & Sprout Payroll,Sprout HR
Change Request - CRF-18684 - Create and Reach VA Services,Task,Normal,Sync Sprout HR & Sprout Payroll,Sprout Payroll
Change Request - CRF-18684 - Create and Reach VA Services,Task,Normal,Work Place / Location,Sprout HR
Change Request - CRF-18684 - Create and Reach VA Services,Task,Normal,Work Place / Location,Sprout Payroll
"Staywell Information Systems, Inc.-daily rate for Salaried employees",Question,Low,Salary,Sprout Payroll
Automatic Deduction made by Instacash,Problem,Normal,InstaCash: Payments,Sprout Instacash
Automatic Deduction made by Instacash,Problem,Normal,InstaCash: Payments,Sprout Payroll
Automatic Deduction made by Instacash,Problem,Normal,Loans,Sprout Instacash
Automatic Deduction made by Instacash,Problem,Normal,Loans,Sprout Payroll
Automatic Deduction made by Instacash,Problem,Normal,Payroll Runs,Sprout Instacash
Automatic Deduction made by Instacash,Problem,Normal,Payroll Runs,Sprout Payroll
Msocial Attendance Dispute,Problem,Normal,Attendance Management,Sprout HR
Msocial Attendance Dispute,Problem,Normal,Attendance Report,Sprout HR
Msocial Attendance Dispute,Problem,Normal,Biologs,Sprout HR
Msocial Attendance Dispute,Problem,Normal,Login,Sprout HR
Telrcom| EID Modification,Question,Normal,Basic Information,Sprout HR
InstaCash Status,Problem,Normal,InstaCash: Payments,Sprout Instacash
Loan info not updated.,Task,Normal,InstaCash: Payments,Sprout Instacash
Missing leave credits after renewal,Problem,Normal,Leave Credits Upload,Sprout HR
Missing leave credits after renewal,Problem,Normal,Leave Plans and Usage,Sprout HR
Missing leave credits after renewal,Problem,Normal,Leave Types and Policies,Sprout HR
Instacash Loan Concern,Problem,Normal,Instacash Widget,Sprout Instacash
Change Request - CRF-18685 - SPECTRUM GROUP OF COMPANIES,Task,Normal,Others,Sprout HR
Change Request - CRF-18685 - SPECTRUM GROUP OF COMPANIES,Task,Normal,Others,Sprout Payroll
Change Request - CRF-18685 - SPECTRUM GROUP OF COMPANIES,Task,Normal,SSO,Sprout HR
Change Request - CRF-18685 - SPECTRUM GROUP OF COMPANIES,Task,Normal,SSO,Sprout Payroll
FW: Instacash request,Task,Normal,InstaCash: Payments,Sprout Instacash
InstaCash Loan Concern,Task,Normal,InstaCash: Payments,Sprout Instacash
Instacash Loan Payment,Task,Normal,InstaCash: Payments,Sprout Instacash
[ACACIASOFT CORP]: Schedule Adjustment Request,Problem,Normal,Schedule Adjustment Application,Sprout HR
[ACACIASOFT CORP]: Schedule Adjustment Request,Problem,Normal,Schedule Adjustments,Sprout HR
Change Request - CRF-18686 - WEE COMMUNITY DEVELOPERS INC,Problem,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
Change Request - CRF-18687 - Wee Community Developers Inc,Task,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
Change Request - CRF-18688 - Powercity Corporation,Task,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
Re: Certificate of Attendance - Late Approvals not Updating,Problem,Normal,Attendance Report,Sprout HR
Re: Certificate of Attendance - Late Approvals not Updating,Problem,Normal,Schedule Adjustment Application,Sprout HR
Re: Certificate of Attendance - Late Approvals not Updating,Problem,Normal,Work Schedule,Sprout HR
UNPAID HOLIDAY,Problem,Normal,Attendance Report,Sprout HR
UNPAID HOLIDAY,Problem,Normal,Attendance Report,Sprout Payroll
UNPAID HOLIDAY,Problem,Normal,Backend Policy,Sprout HR
UNPAID HOLIDAY,Problem,Normal,Backend Policy,Sprout Payroll
UNPAID HOLIDAY,Problem,Normal,Holidays,Sprout HR
UNPAID HOLIDAY,Problem,Normal,Holidays,Sprout Payroll
UNPAID HOLIDAY,Problem,Normal,Official Business Application,Sprout HR
UNPAID HOLIDAY,Problem,Normal,Official Business Application,Sprout Payroll
UNPAID HOLIDAY,Problem,Normal,Official Businesses,Sprout HR
UNPAID HOLIDAY,Problem,Normal,Official Businesses,Sprout Payroll
UNPAID HOLIDAY,Problem,Normal,OT Rates,Sprout HR
UNPAID HOLIDAY,Problem,Normal,OT Rates,Sprout Payroll
3RD TIME OCCURANCE OF NON-REFLECTION OF BIOMETRIC LOGS ON SPROUT,Problem,Normal,Biometrics Device,Sprout HR
Change Request -  - Korn Ferry,Task,Normal,Deactivation,Sprout Mobile
Change Request -  - Korn Ferry,Task,Normal,Geotagging,Sprout Mobile
"Unposted Instacash Deduction | KMC Community, Inc. - Employee ID: C6822",Task,Normal,Instacash Widget,Sprout Instacash
"Unposted Instacash Deduction | KMC Community, Inc. - Employee ID: C6822",Task,Normal,InstaCash: Payments,Sprout Instacash
Rach Net-Sec Inc. (Public Sector Network)- Newly added employees not receiving an email,Problem,Normal,Change Password,Sprout HR
SSO related account access,Problem,Normal,SSO,Sprout HR
Change Request -  - Pro Source Global BPO Inc.,Task,Normal,Deactivation,Sprout Instacash
Change Request -  - Pro Source Global BPO Inc.,Task,Normal,Instacash Widget,Sprout Instacash
Change Request -  - Lifestrong Marketing Inc.,Task,Normal,Attendance Today / Team Attendance Widget,Sprout HR
Sprout Loan Deduction - KMC MAG Solutions - Employee ID: 9892,Task,Normal,InstaCash: Payments,Sprout Instacash
Re: Single Sign On Capability,Non Support,Low,Non - Support,Sprout HR
Re: Single Sign On Capability,Non Support,Low,Non - Support,Sprout Payroll
Re: Single Sign On Capability,Non Support,Low,SSO,Sprout HR
Re: Single Sign On Capability,Non Support,Low,SSO,Sprout Payroll
Change Request -  - IUNU Data Services OPC,Task,Normal,Activation,Sprout Mobile
Change Request -  - IUNU Data Services OPC,Task,Normal,Geotagging,Sprout Mobile
Sprout Loan Deduction,Task,Normal,InstaCash: Payments,Sprout Instacash
SSS Contribution Deduction,Problem,Normal,SSS Contribution,Sprout Payroll
Urgent Concern,Problem,Normal,Leave Application,Sprout HR
Urgent Concern,Problem,Normal,Leave Application,Sprout Payroll
Urgent Concern,Problem,Normal,Leave Types and Policies,Sprout HR
Urgent Concern,Problem,Normal,Leave Types and Policies,Sprout Payroll
PAYROLL CONCERN,Problem,High,Onehub DAT Files - Philhealth Contributions,Sprout Payroll
PAYROLL CONCERN,Problem,High,OT Rates,Sprout Payroll
PAYROLL CONCERN,Problem,High,Payroll Runs,Sprout Payroll
PAYROLL CONCERN,Problem,High,SSS Contribution,Sprout Payroll
