Ticket subject,Ticket Type,Ticket priority,Module,Product
Instacash Payment Not reflecting | Pimentel Rodriguez Simbulan & Partners,Problem,Normal,Instacash Widget,Sprout Instacash
Instacash Payment Not reflecting | Pimentel Rodriguez Simbulan & Partners,Problem,Normal,Loans,Sprout Instacash
"Change Request - CRF-18417 - HOME HEALTH CARE PLACEMENTS, INC.",Task,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
"Change Request -  - Bigbulb Design Lab, Inc",Task,Normal,Backend Policy,Sprout Payroll
Change Request -  - OSL International Inc,Task,Normal,Backend Policy,Sprout Payroll
Change Request - CRF-18416 - iNeed Outsourcing (subcompany of Parallel Outsourcing),Task,Normal,Sync Sprout HR & Sprout Payroll,Sprout HR
Change Request - CRF-18416 - iNeed Outsourcing (subcompany of Parallel Outsourcing),Task,Normal,Sync Sprout HR & Sprout Payroll,Sprout Payroll
MEGA LIFESCIENCES_MATERNITY LEAVE GOVERNMENT CONTRI,Question,Normal,HDMF / Pag-IBIG Contribution,Sprout Payroll
MEGA LIFESCIENCES_MATERNITY LEAVE GOVERNMENT CONTRI,Question,Normal,PhilHealth Contribution,Sprout Payroll
MEGA LIFESCIENCES_MATERNITY LEAVE GOVERNMENT CONTRI,Question,Normal,SSS Contribution,Sprout Payroll
Fw: ClickHR (Lacylla Macalindol) : New Submission From Michelle Apiado (CATCH.COM.AU PTY LTD,Problem,Normal,MFA,Sprout HR
Instacash repayments,Problem,Normal,InstaCash: Payments,Sprout Instacash
Re: Data Retention for one of KMC's Clients (CASI),Question,Low,Others,Sprout HR
Log in Sprout HR,Question,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
CASI: Bulk Downloading of HR Docs Attachment (Data Extraction) in Employee Profile,Task,Normal,Documents,Sprout HR
System Issue Adding Salary,Problem,Normal,Employee Profile,Sprout HR
System Issue Adding Salary,Problem,Normal,Salary,Sprout HR
INQUIRO | Sprout HR Quiries,Question,Low,Backend Policy,Sprout HR
INQUIRO | Sprout HR Quiries,Question,Low,Employee Dashboard,Sprout HR
Approval as Super Admin and Late Filing,Question,Low,Access Levels,Sprout HR
Approval as Super Admin and Late Filing,Question,Low,Approval Center,Sprout HR
Approval as Super Admin and Late Filing,Question,Low,Approval Levels,Sprout HR
Approval as Super Admin and Late Filing,Question,Low,Login,Sprout HR
Filling of Overtime in a Cross over date Shift,Problem,Normal,Overtime Application,Sprout HR
Jetti Petroleum-Unable to Login in to old Payroll URL,Problem,Normal,Account Lockout,Sprout Payroll
"deductions not reflected

-- 


This message conta...",Problem,Normal,Instacash Widget,Sprout Instacash
"deductions not reflected

-- 


This message conta...",Problem,Normal,Loans,Sprout Instacash
eFlexervices: Employee not receiving an email after SSO activation,Problem,Normal,Others,Sprout HR
eFlexervices: Employee not receiving an email after SSO activation,Problem,Normal,SSO,Sprout HR
"Unposted Instacash Deduction | KMC Community, Inc. - Employee ID: C8150",Task,Normal,InstaCash: Payments,Sprout Instacash
"Change Request - CRF-18418 - D&L Industries, Inc.",Task,Normal,Account Lockout,Sprout Payroll
HOBLI: SPROUT CONCERN - NO CLOCK IN/OUT BUTTON ON THE SPROUT MOBILE APP,Problem,Normal,Login,Sprout Mobile
Realcognita - Sprout HR - Employee dashboard,Problem,Normal,Attendance Today / Team Attendance Widget,Sprout HR
Change Request - CRF-18420 - Handling Innovation,Task,Normal,Biometrics Device,Sprout HR
Change Request - CRF-18421 - SolidGroup technologies Corporation,Task,Normal,Others,Sprout HR
Change Request - CRF-18421 - SolidGroup technologies Corporation,Task,Normal,Others,Sprout Payroll
Change Request - CRF-18421 - SolidGroup technologies Corporation,Task,Normal,SSO,Sprout HR
Change Request - CRF-18421 - SolidGroup technologies Corporation,Task,Normal,SSO,Sprout Payroll
Change Request - CRF-18419 - KMC Solutions,Task,Normal,Employee Profile,Sprout HR
ref code: 093-35-00749-5 - deducted but still marked Pending,Problem,Normal,Instacash Widget,Sprout Instacash
ref code: 093-35-00749-5 - deducted but still marked Pending,Problem,Normal,InstaCash: Payments,Sprout Instacash
Change Request - CRF-18422 - Satellite Teams US,Task,Normal,Account Lockout,Sprout Payroll
Change Request - CRF-18423 - HOUSE OF BRANDED LIFESTYLE INC.,Task,Normal,Activation,Sprout HR
Change Request - CRF-18423 - HOUSE OF BRANDED LIFESTYLE INC.,Task,Normal,Geotagging,Sprout HR
April 10 Holiday,Question,Low,Attendance Report,Sprout HR
April 10 Holiday,Question,Low,Holidays,Sprout HR
Flexible Per Week,Question,Low,Work Schedule,Sprout HR
